Temperature;Time;DSC;Mass;Gas Flow;Gas Flow;Sensit;Segment
  24.52100; 0.00000;null;100.00000;50.00000;20.00000;1.55572;1
  24.54800; 0.05000; 6.772788e-003;100.01384;50.00000;20.00000;1.55568;1
  24.60000; 0.10000; 7.031066e-003;100.02491;50.00000;20.00000;1.55559;1
  24.66100; 0.15000; 7.126552e-003;100.03321;50.00000;20.00000;1.55549;1
  24.69900; 0.20000; 7.479794e-003;100.04428;50.00000;20.00000;1.55542;1
  24.74800; 0.25000; 7.548069e-003;100.05258;50.00000;20.00000;1.55534;1
  24.78900; 0.30000; 7.833507e-003;100.05812;50.00000;20.00000;1.55527;1
  24.83400; 0.35000;null;100.06642;50.00000;20.00000;1.55519;1
  24.88700; 0.40000; 8.200938e-003;100.07472;50.00000;20.00000;1.55510;1
  24.95100; 0.45000; 8.174349e-003;100.08026;50.00000;20.00000;1.55500;1
  25.01000; 0.50000; 8.297088e-003;100.08303;50.00000;20.00000;1.55490;1
  25.05400; 0.55000; 8.460447e-003;100.09410;50.00000;20.00000;1.55482;1
  25.10100; 0.60000; 8.460878e-003;100.09686;50.00000;20.00000;1.55474;1
  25.14700; 0.65000; 8.610697e-003;100.09963;null;20.00000;1.55467;1
  25.19300; 0.70000; 8.543216e-003;100.10240;50.00000;20.00000;1.55459;1
  25.22300; 0.75000; 8.597825e-003;100.10517;50.00000;20.00000;1.55454;1
  25.26300; 0.80000; 8.598198e-003;100.10793;50.00000;20.00000;1.55447;1
  25.31700; 0.85000; 8.530782e-003;100.11070;50.00000;20.00000;1.55438;1
  25.37400; 0.90000; 8.572065e-003;100.11624;50.00000;20.00000;1.55428;1
  25.39500; 0.95000; 8.449994e-003;100.11624;50.00000;20.00000;1.55425;1
  25.44200; 1.00000; 8.328152e-003;100.12177;50.00000;20.00000;1.55417;1
  25.48600; 1.05000; 8.111165e-003;100.12177;50.00000;20.00000;1.55409;1
  25.53000; 1.10000; 8.111553e-003;100.12731;50.00000;20.00000;1.55402;1
  25.54100; 1.15000; 8.002951e-003;100.12177;50.00000;20.00000;1.55400;1
  25.58100; 1.20000; 7.772304e-003;100.12731;50.00000;20.00000;1.55393;1
  25.62500; 1.25000; 7.704732e-003;100.12177;50.00000;20.00000;1.55386;1
  25.65200; 1.30000; 7.569068e-003;100.12731;50.00000;20.00000;1.55381;1
  25.67400; 1.35000; 7.487713e-003;100.13008;50.00000;20.00000;1.55378;1
  25.70500; 1.40000; 7.392837e-003;100.12731;50.00000;20.00000;1.55372;1
  25.74100; 1.45000; 7.189272e-003;100.13008;50.00000;20.00000;1.55366;1
  25.75500; 1.50000; 7.012704e-003;100.13284;50.00000;20.00000;1.55364;1
  25.79300; 1.55000; 6.836310e-003;100.13561;50.00000;20.00000;1.55358;1
  25.82500; 1.60000; 6.646266e-003;100.13008;50.00000;20.00000;1.55352;1
  25.83300; 1.65000; 6.551183e-003;100.13008;50.00000;20.00000;1.55351;1
  25.87200; 1.70000; 6.293207e-003;100.13561;50.00000;20.00000;1.55344;1
  25.89800; 1.75000; 6.021533e-003;100.13284;50.00000;20.00000;1.55340;1
  25.93700; 1.80000; 5.913042e-003;100.13561;50.00000;20.00000;1.55333;1
  25.94300; 1.85000; 5.736368e-003;100.13284;50.00000;20.00000;1.55332;1
  25.96100; 1.90000; 5.491796e-003;100.13008;50.00000;20.00000;1.55329;1
  25.96600; 1.95000; 5.641356e-003;100.13008;50.00000;20.00000;1.55328;1
  25.99200; 2.00000; 5.491981e-003;100.13284;50.00000;20.00000;1.55324;1
  26.01300; 2.05000; 5.111466e-003;100.13008;50.00000;20.00000;1.55320;1
  26.02200; 2.10000; 5.070733e-003;100.12731;50.00000;20.00000;1.55319;1
  26.04500; 2.15000; 4.771774e-003;100.12177;50.00000;20.00000;1.55315;1
  26.04800; 2.20000; 4.839764e-003;100.12731;50.00000;20.00000;1.55314;1
  26.08200; 2.25000; 4.622417e-003;100.12731;50.00000;20.00000;1.55309;1
  26.08100; 2.30000;null;100.12177;50.00000;20.00000;1.55309;1
  26.10000; 2.35000; 4.105874e-003;100.12177;50.00000;20.00000;1.55306;1
  26.12000; 2.40000; 4.037984e-003;100.11624;50.00000;20.00000;1.55302;1
  26.12000; 2.45000; 3.970005e-003;100.11624;50.00000;20.00000;1.55302;1
  26.15000; 2.50000; 3.942942e-003;100.12177;50.00000;20.00000;1.55297;1
  26.16000; 2.55000; 3.657458e-003;100.12177;50.00000;20.00000;1.55296;1
  26.17000; 2.60000; 3.698287e-003;100.11624;50.00000;20.00000;1.55294;1
  26.15600; 2.65000; 3.548670e-003;100.11624;50.00000;20.00000;1.55296;1
  26.20300;null; 3.290506e-003;100.11900;50.00000;20.00000;1.55288;null
  26.24100; 2.75000; 3.113872e-003;100.12177;50.00000;20.00000;1.55282;1
  26.20900; 2.80000; 3.208945e-003;100.12177;50.00000;20.00000;1.55287;1
  26.22100; 2.85000; 3.181792e-003;100.11900;50.00000;20.00000;1.55285;1
  26.22400; 2.90000; 2.937048e-003;100.11900;50.00000;20.00000;1.55285;1
  26.25000; 2.95000; 2.801153e-003;100.11900;50.00000;20.00000;1.55280;1
  26.24700; 3.00000; 2.814741e-003;100.11900;50.00000;20.00000;1.55281;1
  26.26400; 3.05000; 2.638019e-003;100.12177;50.00000;20.00000;1.55278;1
  26.25200; 3.10000; 2.447614e-003;100.12177;50.00000;20.00000;1.55280;1
  26.28700; 3.15000; 2.434109e-003;100.11624;50.00000;20.00000;1.55274;1
  26.28300; 3.20000; 2.230124e-003;100.11624;50.00000;20.00000;1.55275;1
  26.27900; 3.25000; 2.162123e-003;100.11624;50.00000;20.00000;1.55275;1
  26.28600; 3.30000; 2.134943e-003;100.11347;50.00000;20.00000;1.55274;1
  26.28300; 3.35000; 2.066944e-003;100.11347;50.00000;20.00000;1.55275;1
  26.28200; 3.40000; 2.094139e-003;100.11070;50.00000;20.00000;1.55275;1
  26.28700; 3.45000; 1.985363e-003;100.11070;50.00000;20.00000;1.55274;1
  26.29600; 3.50000; 1.822200e-003;100.10793;50.00000;20.00000;1.55273;1
  26.31000; 3.55000; 1.699840e-003;100.10793;50.00000;20.00000;1.55270;1
  26.31100; 3.60000; 1.699841e-003;100.10793;50.00000;20.00000;1.55270;1
  26.31400; 3.65000; 1.591057e-003;100.10517;50.00000;20.00000;1.55270;1
  26.33200; 3.70000; 1.509494e-003;100.10517;50.00000;20.00000;1.55266;1
  26.29700; 3.75000; 1.468641e-003;100.10517;50.00000;20.00000;1.55272;1
  26.31700; 3.80000; 1.441475e-003;100.10517;50.00000;20.00000;1.55269;1
  26.31500; 3.85000; 1.223891e-003;100.10517;50.00000;20.00000;1.55269;1
  26.32700; 3.90000; 1.278303e-003;100.10240;50.00000;20.00000;1.55267;1
  26.32700; 3.95000; 1.305501e-003;100.10240;50.00000;20.00000;1.55267;1
  26.31500; 4.00000; 1.128700e-003;100.10240;50.00000;20.00000;1.55269;1
  26.31100; 4.05000; 1.223886e-003;100.10240;50.00000;20.00000;1.55270;1
  26.31100; 4.10000; 1.047102e-003;100.09963;50.00000;20.00000;1.55270;1
  26.32300; 4.15000; 1.087913e-003;100.09963;50.00000;20.00000;1.55268;1
  26.30700; 4.20000; 1.006302e-003;100.09686;50.00000;20.00000;1.55271;1
  26.31500; 4.25000; 1.006311e-003;100.09686;50.00000;20.00000;1.55269;1
  26.30300; 4.30000; 9.926988e-004;100.09963;50.00000;20.00000;1.55271;1
  26.33600; 4.35000; 9.247388e-004;100.09963;50.00000;20.00000;1.55266;1
  26.32800; 4.40000; 8.023400e-004;100.09963;50.00000;20.00000;1.55267;1
  26.29600; 4.45000; 8.839032e-004;100.09963;50.00000;20.00000;1.55273;1
  26.31000; 4.50000; 8.567191e-004;100.09410;50.00000;20.00000;1.55270;1
  26.31400; 4.55000; 7.071363e-004;100.09410;50.00000;20.00000;1.55270;1
  26.31100; 4.60000; 6.255417e-004;100.09410;50.00000;20.00000;1.55270;1
  26.30500; 4.65000; 5.167484e-004;100.09410;50.00000;20.00000;1.55271;1
  26.30200; 4.70000; 6.663313e-004;100.09410;50.00000;20.00000;1.55272;1
  26.29900; 4.75000; 6.255335e-004;100.08856;50.00000;20.00000;1.55272;1
  26.29300; 4.80000; 5.575371e-004;100.08856;50.00000;20.00000;1.55273;1
  26.28000; 4.85000; 5.711274e-004;100.08856;50.00000;20.00000;1.55275;1
  26.27000; 4.90000; 4.759344e-004;100.08856;50.00000;20.00000;1.55277;1
  26.29000; 4.95000; 4.215510e-004;100.08856;50.00000;20.00000;1.55274;1
  26.25900; 5.00000; 2.991552e-004;100.08856;50.00000;20.00000;1.55279;1
  26.27000; 5.05000; 4.215419e-004;100.08856;50.00000;20.00000;1.55277;1
  26.25600; 5.10000; 3.943396e-004;100.08856;50.00000;20.00000;1.55279;1
  26.25200; 5.15000; 3.943379e-004;100.08856;50.00000;20.00000;1.55280;1
  26.25200; 5.20000; 4.215336e-004;100.08856;50.00000;20.00000;1.55280;1
  26.23900; 5.25000; 3.399416e-004;100.08856;50.00000;20.00000;1.55282;1
  26.23700; 5.30000; 2.991480e-004;100.08856;50.00000;20.00000;1.55283;1
  26.23000; 5.35000; 3.399383e-004;100.08856;50.00000;20.00000;1.55284;1
  26.23300; 5.40000; 2.583540e-004;100.08856;50.00000;20.00000;1.55283;1
  26.23900; 5.45000; 2.447580e-004;100.08856;50.00000;20.00000;1.55282;1
  26.22200; 5.50000; 2.311561e-004;100.08856;50.00000;20.00000;1.55285;1
  26.21000; 5.55000; 1.359724e-004;100.08303;50.00000;20.00000;1.55287;1
  26.21400; 5.60000; 1.767649e-004;100.08303;50.00000;20.00000;1.55286;1
  26.20100; 5.65000; 9.517972e-005;100.08303;50.00000;20.00000;1.55289;1
  26.18800; 5.70000; 9.517838e-005;100.08303;50.00000;20.00000;1.55291;1
  26.20200; 5.75000; 1.087770e-004;100.08303;50.00000;20.00000;1.55288;1
  26.18800; 5.80000; 5.438765e-005;100.08303;50.00000;20.00000;1.55291;1
  26.18700; 5.85000;-2.719379e-005;100.08303;50.00000;20.00000;1.55291;1
  26.18500; 5.90000; 5.438747e-005;100.08303;50.00000;20.00000;1.55291;1
  26.17200; 5.95000;-1.223701e-004;100.08303;50.00000;20.00000;1.55294;1
  26.16400; 6.00000;-1.495621e-004;100.08303;50.00000;20.00000;1.55295;1
  26.16100; 6.05000;-1.359651e-005;100.08303;50.00000;20.00000;1.55295;1
  26.15500; 6.10000; 4.078927e-005;100.08579;50.00000;20.00000;1.55296;1
  26.13900; 6.15000; 0.000000e+000;100.08579;50.00000;20.00000;1.55299;1
  26.14100; 6.20000; 2.719243e-005;100.08579;50.00000;20.00000;1.55299;1
  26.14100; 6.25000; 1.223660e-004;100.08579;50.00000;20.00000;1.55299;1
  26.13200; 6.30000; 0.000000e+000;100.08579;50.00000;20.00000;1.55300;1
  26.13500; 6.35000;-1.359613e-005;100.08579;50.00000;20.00000;1.55300;1
  26.13800; 6.40000;-4.078852e-005;100.08579;50.00000;20.00000;1.55299;1
  26.13000; 6.45000;-8.157632e-005;100.08579;50.00000;20.00000;1.55301;1
  26.12400; 6.50000;-5.438386e-005;100.08579;50.00000;20.00000;1.55302;1
  26.12100; 6.55000;-1.087674e-004;100.08579;50.00000;20.00000;1.55302;1
  26.11500; 6.60000;-1.087667e-004;100.08856;50.00000;20.00000;1.55303;1
  26.11800; 6.65000; 2.719175e-005;100.08856;50.00000;20.00000;1.55303;1
  26.09500; 6.70000; 2.719107e-005;100.08856;50.00000;20.00000;1.55307;1
  26.10100; 6.75000;-8.157375e-005;100.09133;50.00000;20.00000;1.55306;1
  26.09800; 6.80000;-1.223602e-004;100.09133;50.00000;20.00000;1.55306;1
  26.10000; 6.85000;-5.438244e-005;100.09133;50.00000;20.00000;1.55306;1
  26.07500; 6.90000; 1.903334e-004;100.09133;50.00000;20.00000;1.55310;1
  26.07900; 6.95000;-2.719060e-005;100.09133;50.00000;20.00000;1.55309;1
  26.09000; 7.00000; 5.438185e-005;100.09133;50.00000;20.00000;1.55307;1
  26.08900; 7.05000; 6.797723e-005;100.09410;50.00000;20.00000;1.55308;1
  26.08300; 7.10000; 6.797679e-005;100.09410;50.00000;20.00000;1.55309;1
  26.06900; 7.15000; 4.078546e-005;100.09410;50.00000;20.00000;1.55311;1
  26.06700; 7.20000; 4.078537e-005;100.09410;50.00000;20.00000;1.55311;1
  26.06900; 7.25000;-2.719030e-005;100.09686;50.00000;20.00000;1.55311;1
  26.06400; 7.30000;-4.078523e-005;100.09686;50.00000;20.00000;1.55312;1
  26.05000; 7.35000;-1.359487e-005;100.09686;50.00000;20.00000;1.55314;1
  26.06300; 7.40000; 2.719013e-005;100.09686;50.00000;20.00000;1.55312;1
  26.06300; 7.45000; 1.359506e-004;100.09686;50.00000;20.00000;1.55312;1
  26.05300; 7.50000; 6.797458e-005;100.09963;50.00000;20.00000;1.55314;1
  26.04700; 7.55000;-4.078448e-005;100.09963;50.00000;20.00000;1.55315;1
  26.04300; 7.60000; 1.223529e-004;100.09963;50.00000;20.00000;1.55315;1
  26.05300; 7.65000; 4.078475e-005;100.09963;50.00000;20.00000;1.55314;1
  26.04000; 7.70000; 1.087578e-004;100.09963;50.00000;20.00000;1.55316;1
  26.03900; 7.75000; 1.087577e-004;100.09963;50.00000;20.00000;1.55316;1
  26.04900; 7.80000; 1.223537e-004;100.09963;50.00000;20.00000;1.55314;1
  26.03600; 7.85000; 2.311093e-004;100.09963;50.00000;20.00000;1.55316;1
  26.04100; 7.90000; 1.767316e-004;100.09963;50.00000;20.00000;1.55316;1
  26.01700; 7.95000; 1.495382e-004;100.09963;50.00000;20.00000;1.55320;1
  26.04200; 8.00000; 1.223528e-004;100.09963;50.00000;20.00000;1.55315;1
  26.01500; 8.05000; 9.516047e-005;100.09963;50.00000;20.00000;1.55320;1
  26.02100; 8.10000; 1.223500e-004;100.09963;50.00000;20.00000;1.55319;1
  26.02300; 8.15000; 0.000000e+000;100.09963;50.00000;20.00000;1.55319;1
  26.02000; 8.20000; 2.582941e-004;100.09963;50.00000;20.00000;1.55319;1
  26.02600; 8.25000; 1.495397e-004;100.09963;50.00000;20.00000;1.55318;1
  26.01800; 8.30000; 2.039160e-004;100.09963;50.00000;20.00000;1.55320;1
  26.01000; 8.35000; 2.311028e-004;100.09963;50.00000;20.00000;1.55321;1
  26.03100; 8.40000; 3.534594e-004;100.09963;50.00000;20.00000;1.55317;1
  26.01500; 8.45000; 3.534532e-004;100.09963;50.00000;20.00000;1.55320;1
  26.00600; 8.50000; 3.126671e-004;100.09963;50.00000;20.00000;1.55322;1
  26.01000; 8.55000; 2.854799e-004;100.09963;50.00000;20.00000;1.55321;1
  26.01200; 8.60000; 3.262634e-004;100.09963;50.00000;20.00000;1.55321;1
  26.01900; 8.65000; 2.718883e-004;100.09963;50.00000;20.00000;1.55319;1
  26.02200; 8.70000; 2.854836e-004;100.09963;50.00000;20.00000;1.55319;1
  26.01300; 8.75000; 3.126695e-004;100.09963;50.00000;20.00000;1.55320;1
  25.98600; 8.80000; 2.310967e-004;100.09963;50.00000;20.00000;1.55325;1
  25.98400; 8.85000; 3.942230e-004;100.09963;50.00000;20.00000;1.55325;1
  25.99700; 8.90000; 1.495350e-004;100.09963;50.00000;20.00000;1.55323;1
  25.99000; 8.95000; 2.175038e-004;100.10517;50.00000;20.00000;1.55324;1
  25.99000; 9.00000; 2.990677e-004;100.10517;50.00000;20.00000;1.55324;1
  25.99500; 9.05000; 3.942277e-004;100.10517;50.00000;20.00000;1.55323;1
  25.98700; 9.10000; 2.582848e-004;100.10517;50.00000;20.00000;1.55325;1
  25.99300; 9.15000; 2.175045e-004;100.10517;50.00000;20.00000;1.55324;1
  25.98700; 9.20000; 2.718788e-004;100.10517;50.00000;20.00000;1.55325;1
  25.98500; 9.25000; 4.078173e-004;100.10517;50.00000;20.00000;1.55325;1
  25.98000; 9.30000; 2.446890e-004;100.10517;50.00000;20.00000;1.55326;1
  25.96800; 9.35000; 2.174985e-004;100.10517;50.00000;20.00000;1.55328;1
  25.97900; 9.40000; 2.582826e-004;100.10517;50.00000;20.00000;1.55326;1
  25.97600; 9.45000; 2.310942e-004;100.10517;50.00000;20.00000;1.55327;1
  25.97400; 9.50000; 2.990625e-004;100.10517;50.00000;20.00000;1.55327;1
  25.99100; 9.55000; 3.942260e-004;100.10517;50.00000;20.00000;1.55324;1
  25.97700; 9.60000; 4.214075e-004;100.10517;50.00000;20.00000;1.55326;1
  25.98100; 9.65000; 2.854709e-004;100.10517;50.00000;20.00000;1.55326;1
  25.96300; 9.70000; 2.174974e-004;100.10517;50.00000;20.00000;1.55329;1
  25.95800; 9.75000; 2.718702e-004;100.10517;50.00000;20.00000;1.55330;1
  25.97200; 9.80000; 2.990618e-004;100.09963;50.00000;20.00000;1.55327;1
  25.97700; 9.85000; 3.262510e-004;100.09963;50.00000;20.00000;1.55326;1
  25.98100; 9.90000; 5.165663e-004;100.09963;50.00000;20.00000;1.55326;1
  25.96000; 9.95000; 3.262450e-004;100.09963;50.00000;20.00000;1.55329;1
  25.96100;10.00000; 6.117100e-004;100.09963;50.00000;20.00000;1.55329;1
  25.96500;10.05000; 3.942149e-004;100.09963;50.00000;20.00000;1.55328;1
  25.96900;10.10000; 4.893722e-004;100.10240;50.00000;20.00000;1.55328;1
  25.96700;10.15000; 5.165585e-004;100.10240;50.00000;20.00000;1.55328;1
  25.95500;10.20000; 2.990563e-004;100.10240;50.00000;20.00000;1.55330;1
  25.96600;10.25000; 2.039044e-004;100.10240;50.00000;20.00000;1.55328;1
  25.96400;10.30000; 6.660864e-004;100.10240;50.00000;20.00000;1.55329;1
  25.96100;10.35000; 5.301487e-004;100.10240;50.00000;20.00000;1.55329;1
  25.95600;10.40000; 4.213979e-004;100.10240;50.00000;20.00000;1.55330;1
  25.95000;10.45000; 3.126480e-004;100.10240;50.00000;20.00000;1.55331;1
  25.94900;10.50000; 4.213947e-004;100.10240;50.00000;20.00000;1.55331;1
  25.96400;10.55000; 4.485888e-004;100.10240;50.00000;20.00000;1.55329;1
  25.96100;10.60000; 4.349938e-004;100.10240;50.00000;20.00000;1.55329;1
  25.97100;10.65000; 4.485922e-004;100.10240;50.00000;20.00000;1.55327;1
  25.96200;10.70000; 5.981171e-004;100.10240;50.00000;20.00000;1.55329;1
  25.95500;10.75000; 5.573322e-004;100.10240;50.00000;20.00000;1.55330;1
  25.95900;10.80000; 6.253022e-004;100.10240;50.00000;20.00000;1.55329;1
  25.96100;10.85000; 5.981164e-004;100.10240;50.00000;20.00000;1.55329;1
  25.95800;10.90000; 4.893664e-004;100.10793;50.00000;20.00000;1.55330;1
  25.97100;10.95000; 4.214048e-004;100.10793;50.00000;20.00000;1.55327;1
  25.97600;11.00000; 3.942196e-004;100.10793;50.00000;20.00000;1.55327;1
  25.97800;11.05000; 3.806266e-004;100.10793;50.00000;20.00000;1.55326;1
  25.98000;11.10000; 4.757843e-004;100.11347;50.00000;20.00000;1.55326;1
  25.96200;11.15000; 5.301492e-004;100.11347;50.00000;20.00000;1.55329;1
  25.97500;11.20000; 3.126565e-004;100.11347;50.00000;20.00000;1.55327;1
  25.98900;11.25000; 4.486010e-004;100.11347;50.00000;20.00000;1.55324;1
  25.97800;11.30000; 3.942204e-004;100.11624;50.00000;20.00000;1.55326;1
  25.97400;11.35000; 5.437499e-004;100.11624;50.00000;20.00000;1.55327;1
  25.97700;11.40000; 5.029703e-004;100.11624;50.00000;20.00000;1.55326;1
  25.95700;11.45000; 5.165529e-004;100.11624;50.00000;20.00000;1.55330;1
  25.96600;11.50000; 5.029643e-004;100.11624;50.00000;20.00000;1.55328;1
  25.96600;11.55000; 3.942153e-004;100.11624;50.00000;20.00000;1.55328;1
  25.95100;11.60000; 4.213956e-004;100.11624;50.00000;20.00000;1.55331;1
  25.96000;11.65000; 5.165546e-004;100.11624;50.00000;20.00000;1.55329;1
  25.96100;11.70000; 5.165551e-004;100.11624;50.00000;20.00000;1.55329;1
  25.96300;11.75000; 6.524921e-004;100.11624;50.00000;20.00000;1.55329;1
  25.96900;11.80000; 5.165596e-004;100.11347;50.00000;20.00000;1.55328;1
  25.97800;11.85000; 3.942204e-004;100.11347;50.00000;20.00000;1.55326;1
  25.95400;11.90000; 4.893643e-004;100.11347;50.00000;20.00000;1.55330;1
  25.96900;11.95000; 4.757786e-004;100.11347;50.00000;20.00000;1.55328;1
  25.96900;12.00000; 4.757786e-004;100.11347;50.00000;20.00000;1.55328;1
  25.94900;12.05000; 4.893616e-004;100.11347;50.00000;20.00000;1.55331;1
  25.96500;12.10000; 5.709319e-004;100.11347;50.00000;20.00000;1.55328;1
  25.96300;12.15000; 5.573370e-004;100.11347;50.00000;20.00000;1.55329;1
  25.96900;12.20000; 4.893722e-004;100.11347;50.00000;20.00000;1.55328;1
  25.95200;12.25000; 4.893632e-004;100.11347;50.00000;20.00000;1.55331;1
  25.95500;12.30000; 4.893648e-004;100.11347;50.00000;20.00000;1.55330;1
  25.94900;12.35000; 5.301417e-004;100.11347;50.00000;20.00000;1.55331;1
  25.94300;12.40000; 4.757651e-004;100.11347;50.00000;20.00000;1.55332;1
  25.97300;12.45000; 5.981242e-004;100.11347;50.00000;20.00000;1.55327;1
  25.94800;12.50000; 5.573279e-004;100.11347;50.00000;20.00000;1.55331;1
  25.95900;12.55000; 5.165540e-004;100.11347;50.00000;20.00000;1.55329;1
  25.94600;12.60000; 3.398334e-004;100.11347;50.00000;20.00000;1.55332;1
  25.95800;12.65000; 3.942118e-004;100.11347;50.00000;20.00000;1.55330;1
  25.96600;12.70000; 4.349961e-004;100.11347;50.00000;20.00000;1.55328;1
  25.94000;12.75000; 3.806109e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94700;12.80000; 4.757672e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94600;12.85000; 4.485801e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94200;12.90000; 5.165444e-004;100.11347;50.00000;20.00000;1.55332;1
  25.95800;12.95000; 5.437404e-004;100.11347;50.00000;20.00000;1.55330;1
  25.94900;13.00000; 5.573285e-004;100.11347;50.00000;20.00000;1.55331;1
  25.93200;13.05000; 5.029457e-004;100.11347;50.00000;20.00000;1.55334;1
  25.94400;13.10000; 5.845121e-004;100.11347;50.00000;20.00000;1.55332;1
  25.92900;13.15000; 4.621648e-004;100.11347;50.00000;20.00000;1.55335;1
  25.92900;13.20000; 4.893510e-004;100.11347;50.00000;20.00000;1.55335;1
  25.95900;13.25000; 4.757734e-004;100.11347;50.00000;20.00000;1.55329;1
  25.94100;13.30000; 4.077978e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94200;13.35000; 4.621713e-004;100.11347;50.00000;20.00000;1.55332;1
  25.95800;13.40000; 5.573340e-004;100.11347;50.00000;20.00000;1.55330;1
  25.95000;13.45000; 3.942084e-004;100.11347;50.00000;20.00000;1.55331;1
  25.94700;13.50000; 3.398337e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94500;13.55000; 4.349862e-004;100.11900;50.00000;20.00000;1.55332;1
  25.94200;13.60000; 4.077982e-004;100.11900;50.00000;20.00000;1.55332;1
  25.93300;13.65000; 5.165394e-004;100.11900;50.00000;20.00000;1.55334;1
  25.94400;13.70000; 3.670192e-004;100.11900;50.00000;20.00000;1.55332;1
  25.93900;13.75000; 3.670172e-004;100.11900;50.00000;20.00000;1.55333;1
  25.93900;13.80000; 3.942037e-004;100.11900;50.00000;20.00000;1.55333;1
  25.96000;13.85000; 5.573352e-004;100.11900;50.00000;20.00000;1.55329;1
  25.95600;13.90000; 4.621784e-004;100.11900;50.00000;20.00000;1.55330;1
  25.95400;13.95000; 5.165512e-004;100.11900;50.00000;20.00000;1.55330;1
  25.94600;14.00000; 2.990534e-004;100.11900;50.00000;20.00000;1.55332;1
  25.95100;14.05000; 3.534286e-004;100.11900;50.00000;20.00000;1.55331;1
  25.93900;14.10000; 5.437292e-004;100.11900;50.00000;20.00000;1.55333;1
  25.95100;14.15000; 5.573297e-004;100.11900;50.00000;20.00000;1.55331;1
  25.95400;14.20000; 4.213970e-004;100.11900;50.00000;20.00000;1.55330;1
  25.93900;14.25000; 3.262375e-004;100.11900;50.00000;20.00000;1.55333;1
  25.94500;14.30000; 3.806129e-004;100.11900;50.00000;20.00000;1.55332;1
  25.94900;14.35000; 3.806146e-004;100.11347;50.00000;20.00000;1.55331;1
  25.94000;14.40000; 4.757636e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94800;14.45000; 4.078009e-004;100.11347;50.00000;20.00000;1.55331;1
  25.94300;14.50000; 2.582725e-004;100.11347;50.00000;20.00000;1.55332;1
  25.93700;14.55000; 3.942028e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94200;14.60000; 4.757646e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94600;14.65000; 4.621734e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94600;14.70000; 4.893601e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94300;14.75000; 5.573249e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94200;14.80000; 4.621713e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94000;14.85000; 4.757636e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94800;14.90000; 5.573279e-004;100.11347;50.00000;20.00000;1.55331;1
  25.95600;14.95000; 5.029588e-004;100.11347;50.00000;20.00000;1.55330;1
  25.94200;15.00000; 4.077982e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94300;15.05000; 5.029517e-004;100.11347;50.00000;20.00000;1.55332;1
  25.95800;15.10000; 5.573340e-004;100.11347;50.00000;20.00000;1.55330;1
  25.94500;15.15000; 6.252927e-004;100.11347;50.00000;20.00000;1.55332;1
  25.94900;15.20000; 4.621748e-004;100.11347;50.00000;20.00000;1.55331;1
  25.94400;15.25000; 3.942058e-004;100.11347;50.00000;20.00000;1.55332;1
  25.93700;15.30000; 5.301348e-004;100.11347;50.00000;20.00000;1.55333;1
  25.95600;15.35000; 5.165523e-004;100.11347;50.00000;20.00000;1.55330;1
  25.94100;15.40000; 5.165439e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94700;15.45000; 3.262404e-004;100.11347;50.00000;20.00000;1.55332;1
  25.92400;15.50000; 6.116854e-004;100.11347;50.00000;20.00000;1.55335;1
  25.91900;15.55000; 5.165315e-004;100.11347;50.00000;20.00000;1.55336;1
  25.93400;15.60000; 5.709126e-004;100.11347;50.00000;20.00000;1.55334;1
  25.94500;15.65000; 5.845127e-004;100.11347;50.00000;20.00000;1.55332;1
  25.92700;15.70000; 5.980943e-004;100.11347;50.00000;20.00000;1.55335;1
  25.93300;15.75000; 5.301325e-004;100.11347;50.00000;20.00000;1.55334;1
  25.93800;15.80000; 7.068472e-004;100.11347;50.00000;20.00000;1.55333;1
  25.92800;15.85000; 4.757574e-004;100.11347;50.00000;20.00000;1.55335;1
  25.93600;15.90000; 5.845070e-004;100.11347;50.00000;20.00000;1.55333;1
  25.92800;15.95000; 4.077920e-004;100.11347;50.00000;20.00000;1.55335;1
  25.93700;16.00000; 5.301348e-004;100.11347;50.00000;20.00000;1.55333;1
  25.94300;16.05000; 5.437316e-004;100.11347;50.00000;20.00000;1.55332;1
  25.96100;16.10000; 4.893680e-004;100.11347;50.00000;20.00000;1.55329;1
  25.94800;16.15000; 4.078009e-004;100.11347;50.00000;20.00000;1.55331;1
  25.93400;16.20000; 5.573195e-004;100.11900;50.00000;20.00000;1.55334;1
  25.94600;16.25000; 4.757667e-004;100.11900;50.00000;20.00000;1.55332;1
  25.92500;16.30000; 4.485698e-004;100.11900;50.00000;20.00000;1.55335;1
  25.92900;16.35000; 5.029441e-004;100.11900;50.00000;20.00000;1.55335;1
